"Date","Period","Total_Demand","TCQ","Net_Demand"
"2024-01-26",33,"6887.753","487.452027103724","6400.300902583776"
"2024-01-26",34,"6858.0366","488.782768847833","6369.253852245917"
"2024-01-26",35,"6846.893","492.90093933719197","6353.992127069058"
"2024-01-26",36,"6825.46","493.19910638517604","6332.2608545523235"
"2024-01-26",37,"6835.536","494.397507952995","6341.138624859505"
"2024-01-26",38,"6865.843","501.872727532206","6363.970045905294"
"2024-01-26",39,"6888.758","513.5954335787981","6375.162378921202"
"2024-01-26",40,"6889.73","521.702647591887","6368.0273328768635"
"2024-01-26",41,"6858.699","523.105970094427","6335.593248655573"
"2024-01-26",42,"6804.517","520.200345600202","6284.316744243548"
"2024-01-26",43,"6710.6562","518.001028911877","6192.655221088123"
"2024-01-26",44,"6556.269","506.982047501831","6049.286995466919"
"2024-01-26",45,"6386.713","488.53733625714597","5898.175554367854"
"2024-01-26",46,"6253.562","467.270071464411","5786.291940254339"
"2024-01-26",47,"6124.253","443.898437208139","5680.354492479361"
"2024-01-26",48,"5949.918","409.230666371385","5540.687302378615"
"2024-01-27",1,"5782.2197","21306.5380959966","-15524.318369434099"
"2024-01-27",2,"5696.83","21306.5380959966","-15609.708017871599"
"2024-01-27",3,"5677.038","21306.5380959966","-15629.500010059099"
"2024-01-27",4,"5608.933","21306.5380959966","-15697.604990527849"
"2024-01-27",5,"5541.639","21306.5380959966","-15764.898935840349"
"2024-01-27",6,"5483.9834","21306.5380959966","-15822.554697559099"
"2024-01-27",7,"5444.7163","21306.5380959966","-15861.821787402849"
"2024-01-27",8,"5425.424","21306.5380959966","-15881.114267871599"
"2024-01-27",9,"5419.1997","21306.5380959966","-15887.338388965349"
"2024-01-27",10,"5423.901","21306.5380959966","-15882.637217090349"
"2024-01-27",11,"5461.8257","21306.5380959966","-15844.712412402849"
"2024-01-27",12,"5539.331","21306.5380959966","-15767.207041309099"
"2024-01-27",13,"5630.7007","21306.5380959966","-15675.837412402849"
"2024-01-27",14,"5719.5127","21306.5380959966","-15587.025400684099"
"2024-01-27",15,"5814.188","21306.5380959966","-15492.350107715349"
"2024-01-27",16,"5966.0693","21306.5380959966","-15340.468760059099"
"2024-01-27",17,"6109.16","21306.5380959966","-15197.377939746599"
"2024-01-27",18,"6163.915","21306.5380959966","-15142.623056934099"
"2024-01-27",19,"6159.3267","21306.5380959966","-15147.211435840349"
"2024-01-27",20,"6176.779","21306.5380959966","-15129.759287402849"
"2024-01-27",21,"6231.361","21306.5380959966","-15075.177256152849"
"2024-01-27",22,"6266.2017","21306.5380959966","-15040.336435840349"
"2024-01-27",23,"6266.938","21306.5380959966","-15039.600107715349"
